000,19.33,-99.18
001,15.67,-96.50
002,15.86,-97.07
004,16.35,-98.05
005,16.44,-95.02
006,16.68,-98.40
007,16.32,-95.24
008,16.61,-98.98
009,16.72,-99.12
010,16.79,-99.39
011,16.84,-99.90 
012,16.36,-94.19
013,16.09,-93.75
014,16.87,-99.89
015,17.01,-100.09
016,16.01,-97.45
017,17.23,-100.63
018,17.26,-100.88
019,17.27,-101.05
020,17.54,-101.28
021,17.64,-101.48
022,17.64,-101.57
023,17.65,-101.55
024,17.98,-101.81
025,17.96,-102.2
026,18.72,-98.78
027,19.05,-98.27
029,18.96,-99.24
033,18.93,-99.20
999,16.01,-97.45
